product_name,product_current_price,product_old_price,product_url,product_image_url,product_seller,product_availability,product_category,product_subcategory,product_weight,timestamp_timezone,product_brand,product_ram,product_storage,product_discount_amount,product_discount_percentage,product_has_discount,product_measuring_unit,product_count,product_has_image_url,product_has_ram,product_has_storage,date_id,date,day,year,month,quarter,month_name,day_name,day_of_week,day_of_year,week_of_year,is_weekend,is_holyday,holyday_name,is_workday,is_leap_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,is_week_start,is_week_end,season,is_winter,is_spring,is_summer,is_autumn,time_id,time_12,time_24,hour_12,hour_24,minute,second,meridiem,is_am,is_pm,part_of_day,is_morning,is_afternoon,is_evening,is_night,is_noon,is_midnight,is_midday,product_is_talabat_seller
"Bebeto Cola Gummy Candy, 35g",16.0,16.0,https://www.talabat.com/egypt/grocery/743155/tkiosk-by-tmart-fleming-koliyat-tarbya-2/candies-jellies/candy?aid=7067,https://talabat.dhmedia.io/image/product-information-management/689b08a360d55d23ff1d50ce.JPG,tKiosk by tMart,1,snacks & sweets,chocolate & confectionery,35.0,Africa/Cairo,bebeto,unknown,unknown,0.0,0.0,0,G,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
"Trident Spearmint Sugar Free Chewing Gum, 7 Pieces, 13.5g",15.0,15.0,https://www.talabat.com/egypt/grocery/743155/tkiosk-by-tmart-fleming-koliyat-tarbya-2/candies-jellies/gums-drops?aid=7067,https://talabat.dhmedia.io/image/product-information-management/68d27f0c9e88c5318a606ca9.JPG,tKiosk by tMart,1,snacks & sweets,chocolate & confectionery,13.5,Africa/Cairo,trident,unknown,unknown,0.0,0.0,0,G,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
"Bebeto Freeze Dried Crunchy Gummy Blue Raspberry Rings Candies, 35g",115.0,115.0,https://www.talabat.com/egypt/grocery/743155/tkiosk-by-tmart-fleming-koliyat-tarbya-2/candies-jellies/hard-candy?aid=7067,https://talabat.dhmedia.io/image/product-information-management/68d27f0c9e88c5318a606ca5.JPG,tKiosk by tMart,1,snacks & sweets,chocolate & confectionery,35.0,Africa/Cairo,crunchy,unknown,unknown,0.0,0.0,0,G,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
"Haribo Goldbears Fruit Flavour Jelly Candy, 80g",45.0,45.0,https://www.talabat.com/egypt/grocery/743155/tkiosk-by-tmart-fleming-koliyat-tarbya-2/candies-jellies/jelly?aid=7067,https://talabat.dhmedia.io/image/product-information-management/698060c17754e3bab20cd7d8.jpg,tKiosk by tMart,1,snacks & sweets,chocolate & confectionery,80.0,Africa/Cairo,haribo,unknown,unknown,0.0,0.0,0,G,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
"Fun Day Strawberry Flavoured Lollipop Bag, 10x8g",28.0,28.0,https://www.talabat.com/egypt/grocery/743155/tkiosk-by-tmart-fleming-koliyat-tarbya-2/candies-jellies/lollipops?aid=7067,https://talabat.dhmedia.io/image/product-information-management/66bcea5bf178da5a11408d17.JPG,tKiosk by tMart,1,snacks & sweets,chocolate & confectionery,8.0,Africa/Cairo,lollipop,unknown,unknown,0.0,0.0,0,G,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
"Magical Marshzone Marshmallows Fries, 65g",27.0,27.0,https://www.talabat.com/egypt/grocery/743155/tkiosk-by-tmart-fleming-koliyat-tarbya-2/candies-jellies/marshmallows?aid=7067,https://talabat.dhmedia.io/image/darkstores-eg/EGY_6223011330346.jpg,tKiosk by tMart,1,snacks & sweets,chocolate & confectionery,65.0,Africa/Cairo,marshzone,unknown,unknown,0.0,0.0,0,G,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
"Break Vegetables Snack, 29-39g",5.0,5.0,https://www.talabat.com/egypt/grocery/743155/tkiosk-by-tmart-fleming-koliyat-tarbya-2/chips-and-snacks/baked-snacks?aid=7067,https://talabat.dhmedia.io/image/product-information-management/689b314365ba0b1111803954.jpg,tKiosk by tMart,1,snacks & sweets,"chips, dips & snacks",39.0,Africa/Cairo,vegeta,unknown,unknown,0.0,0.0,0,G,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
"Pringles Mexican Chilli & Lime Chips, 40g",50.0,50.0,https://www.talabat.com/egypt/grocery/743155/tkiosk-by-tmart-fleming-koliyat-tarbya-2/chips-and-snacks/canned-chips?aid=7067,https://talabat.dhmedia.io/image/product-information-management/69c0f42c30ac36c401eefd0f.jpg,tKiosk by tMart,1,snacks & sweets,"chips, dips & snacks",40.0,Africa/Cairo,pringles,unknown,unknown,0.0,0.0,0,G,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
"Cheetos Crunchy Fried Cheese Puffs, 70g",10.0,10.0,https://www.talabat.com/egypt/grocery/743155/tkiosk-by-tmart-fleming-koliyat-tarbya-2/chips-and-snacks/corn-chips?aid=7067,https://talabat.dhmedia.io/image/product-information-management/68a3466195cc9b36904b1dfb.JPG,tKiosk by tMart,1,snacks & sweets,"chips, dips & snacks",70.0,Africa/Cairo,cheetos,unknown,unknown,0.0,0.0,0,G,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
"Abu Auf Choco Pillows Stuffed with Chocolate Cream, 100g",33.95,33.95,https://www.talabat.com/egypt/grocery/743155/tkiosk-by-tmart-fleming-koliyat-tarbya-2/chips-and-snacks/crackers-pretzels?aid=7067,https://talabat.dhmedia.io/image/product-information-management/6a15c533c4627164b423ac03.png,tKiosk by tMart,1,snacks & sweets,"chips, dips & snacks",100.0,Africa/Cairo,abu auf,unknown,unknown,0.0,0.0,0,G,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
